Filename,Deterministic_MK,Stochastic_MK
job5_m4_0.json,63.00,63.00
job3_m3_1.json,46.00,46.00
job6_m4_2.json,81.00,81.00
job6_m3_3.json,88.00,88.00
job4_m4_4.json,54.00,54.00
job3_m3_5.json,38.00,38.00
job5_m4_6.json,60.00,60.00
job3_m4_7.json,51.00,51.00
job3_m4_8.json,55.00,55.00
job3_m4_9.json,46.00,46.00
job4_m3_10.json,57.00,57.00
job4_m4_11.json,49.00,49.00
job3_m4_12.json,42.00,42.00
job5_m3_13.json,73.00,73.00
job5_m3_14.json,70.00,70.00
job4_m4_15.json,46.00,46.00
job4_m4_16.json,58.00,58.00
job3_m4_17.json,54.00,54.00
job5_m3_18.json,80.00,80.00
job6_m3_19.json,79.00,79.00
job4_m4_20.json,42.00,42.00
job3_m3_21.json,57.00,57.00
job5_m3_22.json,63.00,63.00
job4_m3_23.json,68.00,68.00
job4_m4_24.json,51.00,51.00
job6_m3_25.json,80.00,80.00
job4_m3_26.json,63.00,63.00
job5_m4_27.json,59.00,59.00
job4_m4_28.json,51.00,51.00
job3_m4_29.json,35.00,35.00
job4_m4_30.json,53.00,53.00
job4_m4_31.json,57.00,57.00
job3_m4_32.json,46.00,46.00
job3_m3_33.json,51.00,51.00
job3_m4_34.json,48.00,48.00
job3_m3_35.json,56.00,56.00
job3_m4_36.json,46.00,46.00
job5_m3_37.json,60.00,60.00
job4_m3_38.json,65.00,65.00
job6_m3_39.json,80.00,80.00
job5_m3_40.json,70.00,70.00
job5_m3_41.json,70.00,70.00
job5_m4_42.json,57.00,57.00
job6_m3_43.json,87.00,87.00
job6_m4_44.json,73.00,73.00
job5_m4_45.json,59.00,59.00
job4_m3_46.json,58.00,58.00
job3_m3_47.json,47.00,47.00
job5_m4_48.json,61.00,61.00
job6_m4_49.json,76.00,76.00
job5_m3_50.json,61.00,61.00
job5_m4_51.json,57.00,57.00
job4_m4_52.json,50.00,50.00
job5_m3_53.json,84.00,84.00
job5_m4_54.json,70.00,70.00
